Longitude,Latitude,month,year,Sample Depth [m],Temp,Salinity,d18O,dD,notes,Citation
-44.02579,-42.37130,3,2011,1500.000,2.74100,34.636002,-0.23000,-1.57000,,Geotraces Rijkenberg et al. (2011)
-32.74438,-22.47150,3,2011,1250.000,3.52800,34.662998,-0.23000,-1.11000,,Geotraces Rijkenberg et al. (2011)
-44.02579,-42.37130,3,2011,100.000,9.52400,34.638000,-0.22000,-1.21000,,Geotraces Rijkenberg et al. (2011)
-29.22729,-12.89400,3,2011,3502.000,2.41600,34.891998,-0.22000,0.55000,,Geotraces Rijkenberg et al. (2011)
-52.68811,-49.54720,3,2011,400.000,2.80200,34.167999,-0.21000,-1.57000,,Geotraces Rijkenberg et al. (2011)
-52.68811,-49.54720,3,2011,2123.000,1.67300,34.715000,-0.21000,-0.76000,,Geotraces Rijkenberg et al. (2011)
-48.73471,-48.89420,3,2011,497.000,3.03400,34.207001,-0.21000,-2.72000,,Geotraces Rijkenberg et al. (2011)
-45.5361,-44.70680,3,2011,1250.000,2.72500,34.570999,-0.21000,-1.43000,,Geotraces Rijkenberg et al. (2011)
-44.02579,-42.37130,3,2011,300.000,5.37100,34.219002,-0.21000,-1.42000,,Geotraces Rijkenberg et al. (2011)
-39.4368,-35.00880,3,2011,2001.000,3.09600,34.811001,-0.21000,-2.22000,,Geotraces Rijkenberg et al. (2011)
-34.27911,-26.08910,3,2011,502.000,10.62700,34.883999,-0.21000,0.87000,,Geotraces Rijkenberg et al. (2011)
-32.74438,-22.47150,3,2011,999.000,3.73900,34.449001,-0.21000,-1.59000,,Geotraces Rijkenberg et al. (2011)
-52.68811,-49.54720,3,2011,1749.000,1.98600,34.695999,-0.20000,0.02000,,Geotraces Rijkenberg et al. (2011)
-48.73471,-48.89420,3,2011,199.000,3.50800,34.058998,-0.20000,-1.43000,,Geotraces Rijkenberg et al. (2011)
-44.02579,-42.37130,3,2011,23.000,16.31400,34.577999,-0.20000,-0.26000,,Geotraces Rijkenberg et al. (2011)
-30.59921,-17.01680,3,2011,500.000,8.27500,34.667000,-0.20000,-1.01000,,Geotraces Rijkenberg et al. (2011)
-28,-9.15415,3,2011,499.000,6.64800,34.583000,-0.20000,-1.60000,,Geotraces Rijkenberg et al. (2011)
-52.68811,-49.54720,3,2011,2001.000,1.82000,34.712002,-0.19000,-0.64000,,Geotraces Rijkenberg et al. (2011)
-48.73471,-48.89420,3,2011,25.000,9.71500,33.969002,-0.19000,-2.21000,,Geotraces Rijkenberg et al. (2011)
-44.02579,-42.37130,3,2011,247.000,6.28300,34.313000,-0.19000,-0.69000,,Geotraces Rijkenberg et al. (2011)
-44.02579,-42.37130,3,2011,1748.000,2.58700,34.700001,-0.19000,-1.52000,,Geotraces Rijkenberg et al. (2011)
-44.02579,-42.37130,3,2011,2000.000,2.61900,34.769001,-0.19000,-1.79000,,Geotraces Rijkenberg et al. (2011)
