Longitude,Latitude,month,year,Sample Depth (m),Temp,Salinity,d18O,dD,notes,Citation
-56.67029959,-62.17087077,3,2010,29.37868278,0.2986,34.07227733,-0.36,-99.9,,Brown et al. (2014)
-56.69307827,-61.39276161,3,2010,5.73730141,0.8354,33.91088386,-0.36,-99.9,,Brown et al. (2014)
-51.19411838,-60.2530131,3,2010,30.11660575,-0.3583,34.30438546,-0.36,-99.9,,Brown et al. (2014)
-48.27668266,-60.14617139,3,2010,51.68344894,-0.0308,34.31919018,-0.36,-99.9,,Brown et al. (2014)
-46.76861793,-60.35475485,3,2010,26.88247433,-0.0828,34.02129024,-0.36,-99.9,,Brown et al. (2014)
-43.99973158,-60.92015,3,2010,26.22112827,-0.1251,33.84549973,-0.36,-99.9,,Brown et al. (2014)
-42.79000079,-60.73994343,3,2010,8.46224609,-0.4508,33.78472817,-0.36,-99.9,,Brown et al. (2014)
-42.20916553,-60.64996986,4,2010,50.79137764,0.1297,33.92534487,-0.36,-99.9,,Brown et al. (2014)
-42.20916553,-60.64996986,4,2010,5.844707988,-0.504,33.78439076,-0.36,-99.9,,Brown et al. (2014)
-41.9744901,-60.60973824,4,2010,83.0262798,0.492,34.2194331,-0.36,-99.9,,Brown et al. (2014)
-39.11951735,-60.40996201,4,2010,25.02274931,0.2507,33.99407469,-0.36,-99.9,,Brown et al. (2014)
-37.36984621,-60.46007739,4,2010,11.33139405,0.2376,34.10947098,-0.36,-99.9,,Brown et al. (2014)
-33.1598256,-59.86000708,4,2010,0,-0.0242,34.05237334,-0.36,-99.9,,Brown et al. (2014)
-33.07088092,-59.86022363,4,2010,0,-0.2939,34.15651993,-0.36,-99.9,,Brown et al. (2014)
-31.47977598,-59.96988936,4,2010,0,-0.1429,33.78940459,-0.36,-99.9,,Brown et al. (2014)
-17.07456409,-61.43093527,4,2010,0,-0.6628,33.92428032,-0.36,-99.9,,Brown et al. (2014)
29.9959,-56.9991,2,2008,0,1.4312,33.9909,-0.36,-99.9,,Brown et al. (2014)
29.9959,-56.9991,2,2008,0,1.4405,33.9906,-0.36,-99.9,,Brown et al. (2014)
31.0482,-68.2674,3,2008,0,-1.0344,34.1098,-0.36,-99.9,,Brown et al. (2014)
31.3703,-68.3502,3,2008,0,-1.7222,34.2623,-0.36,-99.9,,Brown et al. (2014)
31.437,-68.3642,3,2008,0,-1.016,33.9733,-0.36,-99.9,,Brown et al. (2014)
31.5311,-68.3996,3,2008,0,-1.2852,33.8838,-0.36,-99.9,,Brown et al. (2014)
31.7309,-68.5413,3,2008,0,-1.5927,33.7349,-0.36,-99.9,,Brown et al. (2014)
2.8575,-58.8172,1,2009,0,-1.0319,33.8745,-0.355980276,-99.9,,Brown et al. (2014)
-9.04,-60.4008,1,2009,0,-0.5561,33.8641,-0.353871143,-99.9,,Brown et al. (2014)
15.3751,-57.5375,1,2009,0,-0.184,33.7591,-0.353264941,-99.9,,Brown et al. (2014)
27.3817,-54.0283,1,2009,0,-0.1599,34.6574,-0.351885768,-99.9,,Brown et al. (2014)
7.7594,-58.3312,1,2009,0,-0.4091,34.6544,-0.350063735,-99.9,,Brown et al. (2014)
-56.79229202,-62.50481227,3,2010,302.932299,-1.1614,34.47640654,-0.35,-99.9,,Brown et al. (2014)
-56.69307827,-61.39276161,3,2010,100.7225081,0.3996,34.24543137,-0.35,-99.9,,Brown et al. (2014)
-47.3357418,-60.1475918,3,2010,152.0340121,-0.8164,34.31266985,-0.35,-99.9,,Brown et al. (2014)
-42.95983795,-60.7598533,3,2010,51.38509734,-0.3721,33.85897462,-0.35,-99.9,,Brown et al. (2014)
-24.26111279,-61.23080109,4,2010,0,-0.431787565,34.64241474,-0.35,-99.9,,Brown et al. (2014)
-21.28365219,-61.63117076,4,2010,0,-0.40501827,34.64049703,-0.35,-99.9,,Brown et al. (2014)
-21.28365219,-61.63117076,4,2010,0,-0.458664508,34.64339177,-0.35,-99.9,,Brown et al. (2014)
29.9988,-58.9947,2,2008,0,1.2553,33.8202,-0.35,-99.9,,Brown et al. (2014)
29.9981,-68.0001,3,2008,0,-1.3607,34.1379,-0.35,-99.9,,Brown et al. (2014)
31.0482,-68.2674,3,2008,0,-1.6095,34.3406,-0.35,-99.9,,Brown et al. (2014)
31.5311,-68.3996,3,2008,0,-1.7297,34.1769,-0.35,-99.9,,Brown et al. (2014)
30.0001,-54.4999,1,2009,0,0.6701,34.0446,-0.343214025,-99.9,,Brown et al. (2014)
-56.67029959,-62.17087077,3,2010,155.6420775,-0.6995,34.35809191,-0.34,-99.9,,Brown et al. (2014)
-56.67029959,-62.17087077,3,2010,80.29437359,0.1973,34.13684551,-0.34,-99.9,,Brown et al. (2014)
-56.67029959,-62.17087077,3,2010,4.677158698,0.2827,34.07026074,-0.34,-99.9,,Brown et al. (2014)
-54.40541426,-61.04088476,3,2010,52.7883444,0.526,34.17809728,-0.34,-99.9,,Brown et al. (2014)
-54.1711969,-60.9638972,3,2010,78.06767609,-0.1567,34.28227434,-0.34,-99.9,,Brown et al. (2014)
-51.19411838,-60.2530131,3,2010,8.703910892,-0.3449,34.30709564,-0.34,-99.9,,Brown et al. (2014)
-50.9318325,-60.22423094,3,2010,154.6495612,-0.3651,34.41861838,-0.34,-99.9,,Brown et al. (2014)
-47.3357418,-60.1475918,3,2010,76.36508292,0.0878,34.09690492,-0.34,-99.9,,Brown et al. (2014)
-42.39021558,-60.68001468,3,2010,4.685114741,-0.5346,33.76805798,-0.34,-99.9,,Brown et al. (2014)
-42.08962296,-60.6298,4,2010,107.4244797,-0.4335,34.33364007,-0.34,-99.9,,Brown et al. (2014)
-41.9744901,-60.60973824,4,2010,107.4413863,-0.1732,34.31484651,-0.34,-99.9,,Brown et al. (2014)
-41.69126974,-60.56990352,4,2010,2406.062505,-0.100274732,34.66053651,-0.34,-99.9,,Brown et al. (2014)
-40.06982721,-60.43007884,4,2010,52.11406976,0.3742,34.02271686,-0.34,-99.9,,Brown et al. (2014)
-32.80843818,-59.90004475,4,2010,0,-0.0136,34.02817459,-0.34,-99.9,,Brown et al. (2014)
29.9968,-56.0088,2,2008,0,1.5316,33.9521,-0.34,-99.9,,Brown et al. (2014)
