Longitude,Latitude,month,year,Sample Depth [m],Temp,Salinity,d18O,dD,notes,Citation
-22.78339,17.35140,10,2010,347.700,11.98000,35.500000,0.55000,-99.9,,Geotraces Jenkins et al. (2010)
-21.76611,31.00300,10,2010,1482.600,6.72000,35.439999,0.55000,-99.9,,Geotraces Jenkins et al. (2010)
-21.99799,24.00220,10,2010,497.400,12.08000,35.619999,0.56000,-99.9,,Geotraces Jenkins et al. (2010)
-9.66122,38.32640,10,2010,111.800,15.70000,36.209999,0.59000,-99.9,,Geotraces Jenkins et al. (2010)
-18.2529,17.35330,10,2010,560.600,9.31000,35.119999,0.59000,-99.9,,Geotraces Jenkins et al. (2010)
-21.76611,31.00300,10,2010,991.300,8.85000,35.520000,0.60000,-99.9,,Geotraces Jenkins et al. (2010)
-21.76611,31.00300,10,2010,4685.900,2.42000,34.889999,0.60000,-99.9,,Geotraces Jenkins et al. (2010)
-15.99951,35.20140,10,2010,2276.200,3.67000,35.040001,0.62000,-99.9,,Geotraces Jenkins et al. (2010)
-18.2529,17.35330,10,2010,22.400,27.88000,35.770000,0.62000,-99.9,,Geotraces Jenkins et al. (2010)
-15.99951,35.20140,10,2010,189.300,15.12000,36.080002,0.63000,-99.9,,Geotraces Jenkins et al. (2010)
-15.99951,35.20140,10,2010,485.400,11.97000,35.639999,0.63000,-99.9,,Geotraces Jenkins et al. (2010)
-18.2529,17.35330,10,2010,348.400,11.46000,35.349998,0.64000,-99.9,,Geotraces Jenkins et al. (2010)
-22.78339,17.35140,10,2010,180.300,14.88000,35.930000,0.65000,-99.9,,Geotraces Jenkins et al. (2010)
-15.99951,35.20140,10,2010,1188.900,9.20000,35.840000,0.65000,-99.9,,Geotraces Jenkins et al. (2010)
-15.99951,35.20140,10,2010,1486.100,7.14000,35.549999,0.65000,-99.9,,Geotraces Jenkins et al. (2010)
-21.99799,24.00220,10,2010,1483.100,5.45000,35.180000,0.66000,-99.9,,Geotraces Jenkins et al. (2010)
-18.2529,17.35330,10,2010,457.000,10.42000,35.240002,0.66000,-99.9,,Geotraces Jenkins et al. (2010)
-9.66122,38.32640,10,2010,284.800,13.34000,35.860001,0.67000,-99.9,,Geotraces Jenkins et al. (2010)
-22.78339,17.35140,10,2010,249.500,13.44000,35.700001,0.67000,-99.9,,Geotraces Jenkins et al. (2010)
-15.99951,35.20140,10,2010,297.900,13.35000,35.820000,0.67000,-99.9,,Geotraces Jenkins et al. (2010)
-15.99951,35.20140,10,2010,603.700,11.09000,35.610001,0.68000,-99.9,,Geotraces Jenkins et al. (2010)
-15.99951,35.20140,10,2010,396.600,12.65000,35.730000,0.69000,-99.9,,Geotraces Jenkins et al. (2010)
-15.99951,35.20140,10,2010,865.400,10.40000,35.810001,0.69000,-99.9,,Geotraces Jenkins et al. (2010)
-21.99799,24.00220,10,2010,1729.700,4.67000,35.119999,0.70000,-99.9,,Geotraces Jenkins et al. (2010)
-22.78339,17.35140,10,2010,86.700,18.80000,36.439999,0.71000,-99.9,,Geotraces Jenkins et al. (2010)
-15.99951,35.20140,10,2010,766.100,10.58000,35.730000,0.71000,-99.9,,Geotraces Jenkins et al. (2010)
-22.78339,17.35140,10,2010,200.300,14.62000,35.880001,0.72000,-99.9,,Geotraces Jenkins et al. (2010)
-21.99799,24.00220,10,2010,448.200,12.43000,35.630001,0.72000,-99.9,,Geotraces Jenkins et al. (2010)
-9.66122,38.32640,10,2010,1481.600,10.72000,36.270000,0.73000,-99.9,,Geotraces Jenkins et al. (2010)
-9.66122,38.32640,10,2010,656.500,12.79000,36.279999,0.75000,-99.9,,Geotraces Jenkins et al. (2010)
-9.66122,38.32640,10,2010,951.800,12.55000,36.400002,0.75000,-99.9,,Geotraces Jenkins et al. (2010)
-24.4978,17.40210,11,2010,348.700,12.02000,35.480000,0.75000,-99.9,,Geotraces Jenkins et al. (2010)
-9.66122,38.32640,10,2010,1186.000,12.31000,36.500000,0.76500,-99.9,,Geotraces Jenkins et al. (2010)
-9.66122,38.32640,10,2010,91.900,16.12000,36.259998,0.77500,-99.9,,Geotraces Jenkins et al. (2010)
-9.66122,38.32640,10,2010,951.700,12.55000,36.400002,0.77500,-99.9,,Geotraces Jenkins et al. (2010)
-20.82111,17.35380,10,2010,27.200,26.16000,36.279999,0.78000,-99.9,,Geotraces Jenkins et al. (2010)
-22.78339,17.35140,10,2010,136.000,16.13000,36.119999,0.78000,-99.9,,Geotraces Jenkins et al. (2010)
-21.99799,24.00220,10,2010,398.800,13.58000,35.840000,0.78000,-99.9,,Geotraces Jenkins et al. (2010)
-9.66122,38.32640,10,2010,953.500,12.44000,36.410000,0.79000,-99.9,,Geotraces Jenkins et al. (2010)
-9.66122,38.32640,10,2010,136.600,15.32000,36.169998,0.79500,-99.9,,Geotraces Jenkins et al. (2010)
-9.66122,38.32640,10,2010,34.700,19.21000,36.180000,0.81500,-99.9,,Geotraces Jenkins et al. (2010)
-21.99799,24.00220,10,2010,1975.600,3.98000,35.049999,0.83000,-99.9,,Geotraces Jenkins et al. (2010)
-9.66122,38.32640,10,2010,1334.200,11.31000,36.349998,0.85000,-99.9,,Geotraces Jenkins et al. (2010)
-21.99799,24.00220,10,2010,72.900,22.81000,36.919998,0.85000,-99.9,,Geotraces Jenkins et al. (2010)
-9.66122,38.32640,10,2010,67.500,17.27000,36.340000,0.86000,-99.9,,Geotraces Jenkins et al. (2010)
-9.66122,38.32640,10,2010,796.300,12.81000,36.349998,0.87000,-99.9,,Geotraces Jenkins et al. (2010)
-9.66122,38.32640,10,2010,1037.600,12.52000,36.480000,0.87000,-99.9,,Geotraces Jenkins et al. (2010)
-24.4978,17.40210,11,2010,31.800,26.67000,36.919998,0.87000,-99.9,,Geotraces Jenkins et al. (2010)
-21.99799,24.00220,10,2010,201.100,16.38000,36.180000,0.88000,-99.9,,Geotraces Jenkins et al. (2010)
-21.99799,24.00220,10,2010,151.800,17.27000,36.270000,0.91000,-99.9,,Geotraces Jenkins et al. (2010)
-20.82111,17.35380,10,2010,51.800,17.94000,35.830002,0.92000,-99.9,,Geotraces Jenkins et al. (2010)
-9.66122,38.32640,10,2010,17.800,20.24000,36.320000,0.94000,-99.9,,Geotraces Jenkins et al. (2010)
-21.99799,24.00220,10,2010,33.200,25.66000,36.720001,0.94000,-99.9,,Geotraces Jenkins et al. (2010)
-21.99799,24.00220,10,2010,349.000,14.07000,35.900002,0.94000,-99.9,,Geotraces Jenkins et al. (2010)
-22.78339,17.35140,10,2010,31.500,27.11000,36.200001,0.96000,-99.9,,Geotraces Jenkins et al. (2010)
-21.76611,31.00300,10,2010,348.500,15.26000,36.130001,0.97000,-99.9,,Geotraces Jenkins et al. (2010)
-22.78339,17.35140,10,2010,65.000,21.45000,36.740002,1.00000,-99.9,,Geotraces Jenkins et al. (2010)
-24.4978,17.40210,11,2010,71.900,21.98000,36.810001,1.02000,-99.9,,Geotraces Jenkins et al. (2010)
-21.99799,24.00220,10,2010,57.700,24.09000,36.930000,1.02000,-99.9,,Geotraces Jenkins et al. (2010)
-24.4978,17.40210,11,2010,185.400,16.07000,36.150002,1.03000,-99.9,,Geotraces Jenkins et al. (2010)
-21.76611,31.00300,10,2010,249.700,16.60000,36.320000,1.09000,-99.9,,Geotraces Jenkins et al. (2010)
-21.76611,31.00300,10,2010,185.400,17.61000,36.509998,1.10500,-99.9,,Geotraces Jenkins et al. (2010)
-24.4978,17.40210,11,2010,50.400,24.00000,36.900002,1.20000,-99.9,,Geotraces Jenkins et al. (2010)
-24.4978,17.40210,11,2010,91.600,20.59000,36.730000,1.20000,-99.9,,Geotraces Jenkins et al. (2010)
-24.4978,17.40210,11,2010,136.500,18.65000,36.639999,1.21000,-99.9,,Geotraces Jenkins et al. (2010)
-21.76611,31.00300,10,2010,136.000,18.01000,36.549999,1.24000,-99.9,,Geotraces Jenkins et al. (2010)
-21.76611,31.00300,10,2010,111.600,18.55000,36.619999,1.25500,-99.9,,Geotraces Jenkins et al. (2010)
-21.76611,31.00300,10,2010,62.200,22.30000,36.889999,1.41500,-99.9,,Geotraces Jenkins et al. (2010)
-21.76611,31.00300,10,2010,31.800,24.33000,37.240002,1.83000,-99.9,,Geotraces Jenkins et al. (2010)
-21.76611,31.00300,10,2010,81.500,19.86000,36.639999,2.75000,-99.9,,Geotraces Jenkins et al. (2010)
