  -2.04 74.55 51997 1600 -0.82 34.90  0.27 -99.9                                                 Risebrobakken et al (2003)
  -2.04 74.55 51997 1800 -0.88 34.90  0.38 -99.9                                                 Risebrobakken et al (2003)
  -2.04 74.55 51997 2000 -0.91 34.90  0.23 -99.9                                                 Risebrobakken et al (2003)
  -2.04 74.55 51997 2500 -0.95 34.90  0.30 -99.9                                                 Risebrobakken et al (2003)
  -2.04 74.55 51997 2750 -0.97 34.90  0.30 -99.9                                                 Risebrobakken et al (2003)
  -2.04 74.55 51997 3000 -0.98 34.90  0.31 -99.9                                                 Risebrobakken et al (2003)
  -2.04 74.55 51997 3250 -0.98 34.90  0.27 -99.9                                                 Risebrobakken et al (2003)
  -2.04 74.55 51997 3503 -0.96 34.90  0.35 -99.9                                                 Risebrobakken et al (2003)
   4.00 75.00 51997   10 -1.44 34.58  0.17 -99.9                                                 Risebrobakken et al (2003)
   4.00 75.00 51997  100 -0.67 34.73  0.24 -99.9                                                 Risebrobakken et al (2003)
   4.00 75.00 51997  200  0.16 34.87  0.25 -99.9                                                 Risebrobakken et al (2003)
   4.00 75.00 51997  400 -0.23 34.89  0.31 -99.9                                                 Risebrobakken et al (2003)
   4.00 75.00 51997  500 -0.41 34.89  0.28 -99.9                                                 Risebrobakken et al (2003)
   4.00 75.00 51997  600 -0.60 34.89  0.30 -99.9                                                 Risebrobakken et al (2003)
   4.00 75.00 51997  700 -0.70 34.88  0.34 -99.9                                                 Risebrobakken et al (2003)
   4.00 75.00 51997  800 -0.80 34.88  0.23 -99.9                                                 Risebrobakken et al (2003)
   4.00 75.00 51997  900 -0.83 34.88  0.34 -99.9                                                 Risebrobakken et al (2003)
   4.00 75.00 51997 1000 -0.85 34.88  0.31 -99.9                                                 Risebrobakken et al (2003)
   4.00 75.00 51997 1200 -0.78 34.89  0.30 -99.9                                                 Risebrobakken et al (2003)
   4.00 75.00 51997 1400 -0.78 34.90  0.37 -99.9                                                 Risebrobakken et al (2003)
   4.00 75.00 51997 1600 -0.84 34.91  0.25 -99.9                                                 Risebrobakken et al (2003)
   4.00 75.00 51997 1800 -0.89 34.91  0.34 -99.9                                                 Risebrobakken et al (2003)
   4.00 75.00 51997 2000 -0.92 34.91  0.31 -99.9                                                 Risebrobakken et al (2003)
   4.00 75.00 51997 2500 -0.97 34.90  0.30 -99.9                                                 Risebrobakken et al (2003)
   4.00 75.00 51997 2700 -0.97 34.90  0.21 -99.9                                                 Risebrobakken et al (2003)
   4.00 75.00 51997 2902 -0.97 34.90  0.28 -99.9                                                 Risebrobakken et al (2003)
   2.00 75.00 51997   10 -1.42 34.64  0.16 -99.9                                                 Risebrobakken et al (2003)
